state,district,month,biometric_pressure_index,demographic_pressure_index,composite_pressure_index,rolling_pressure_3m,alert_flag,alert_level,early_warning,sustained_alert
Andaman & Nicobar Islands,Andamans,2025-01-01,3.031852797237589,0.2183638127742843,1.6251083050059367,,1,No Data,1,0
Andaman & Nicobar Islands,Andamans,2025-02-01,-0.3858623192103208,0.1247793215853053,-0.1305414988125077,0.7472834030967145,0,Watch,0,0
Andaman & Nicobar Islands,Andamans,2025-03-01,-0.6159450610933914,-0.1091819063871423,-0.3625634837402668,0.3773344408177208,0,Normal,0,0
Andaman & Nicobar Islands,Andamans,2025-04-01,-0.3897204139675064,2.5579760924987607,1.084127839265627,0.1970076189042842,1,Normal,1,0
Andaman & Nicobar Islands,Andamans,2025-05-01,-0.07721473863547,-1.045026818276933,-0.5611207784562015,0.0534811923563863,0,Normal,0,0
Andaman & Nicobar Islands,Andamans,2025-06-01,-0.6327803836702014,-0.7174810991155062,-0.6751307413928538,-0.0507078935278093,0,Normal,0,0
Andaman & Nicobar Islands,Andamans,2025-07-01,-0.5401861094977463,-0.8110655903044853,-0.6756258499011158,-0.6372924565833903,0,Normal,0,0
Andaman & Nicobar Islands,Andamans,2025-08-01,0.8090447427294588,-0.436727625548569,0.1861585585904449,-0.3881993442345082,0,Normal,1,0
Andaman & Nicobar Islands,Andamans,2025-09-01,-0.5864832465839739,-1.0918190638714225,-0.8391511552276982,-0.4428728155127897,0,Normal,0,0
Andaman & Nicobar Islands,Andamans,2025-10-01,-0.4119786529512697,-0.436727625548569,-0.4243531392499193,-0.3591152452957242,0,Normal,0,0
Andaman & Nicobar Islands,Andamans,2025-11-01,0.2468652209681233,0.9670397422861168,0.6069524816271201,-0.2188506042834991,1,Normal,1,0
Andaman & Nicobar Islands,Andamans,2025-12-01,-0.4475918353252909,0.7798707599081587,0.1661394622914338,0.1162462682228782,0,Normal,0,0
Andaman & Nicobar Islands,South Andaman,2025-01-01,0.6675733847669586,0.8365150662454163,0.7520442255061874,,1,No Data,1,0
Andaman & Nicobar Islands,South Andaman,2025-02-01,-0.4886361888500415,0.2460338430133578,-0.1213011729183418,0.3153715262939228,0,Normal,0,0
Andaman & Nicobar Islands,South Andaman,2025-03-01,-0.7198781035734413,-0.6396879918347298,-0.6797830477040856,-0.0163466650387466,0,Normal,0,0
Andaman & Nicobar Islands,South Andaman,2025-04-01,1.1630917734599586,-0.6396879918347298,0.2617018908126144,-0.1797941099366043,0,Normal,0,0
Andaman & Nicobar Islands,South Andaman,2025-05-01,-0.4225670703576415,1.722236901093504,0.6498349153679313,0.0772512528254867,0,Normal,1,0
Andaman & Nicobar Islands,South Andaman,2025-06-01,1.6586101621529583,-1.2301692150667882,0.2142204735430851,0.3752524265745436,0,Normal,0,0
Andaman & Nicobar Islands,South Andaman,2025-07-01,-1.0667409756585415,-0.3444473802187006,-0.705594177938621,0.0528204036574651,0,Normal,0,0
Andaman & Nicobar Islands,South Andaman,2025-08-01,1.6586101621529583,-0.3444473802187006,0.6570813909671289,0.0552358955238643,1,Normal,1,0
Andaman & Nicobar Islands,South Andaman,2025-09-01,-1.3145001700050414,-1.5254098266828175,-1.4199549983439297,-0.4894892617718072,0,Normal,0,0
Andaman & Nicobar Islands,South Andaman,2025-10-01,-0.5712225869655414,0.5412744546293871,-0.0149740661680771,-0.2592825578482926,0,Normal,0,0
Andaman & Nicobar Islands,South Andaman,2025-11-01,0.1720549960739586,1.722236901093504,0.9471459485837312,-0.1625943719760918,1,Normal,1,0
Andaman & Nicobar Islands,South Andaman,2025-12-01,-0.7363953831965415,-0.3444473802187006,-0.5404213817076211,0.130583500236011,0,Normal,0,0
Andaman And Nicobar Islands,Nicobar,2025-01-01,1.2520164444314783,0.4817262179381218,0.8668713311848001,,1,No Data,1,0
Andaman And Nicobar Islands,Nicobar,2025-02-01,1.917576151273622,0.8510101982739793,1.3842931747738008,1.1255822529793005,1,Elevated,1,1
Andaman And Nicobar Islands,Nicobar,2025-03-01,-0.0340151208388059,2.4701784197465853,1.2180816494538895,1.1564153851374968,1,Elevated,1,1
Andaman And Nicobar Islands,Nicobar,2025-04-01,-1.314973798927482,-0.086402982578582,-0.7006883907530321,0.6338954778248861,0,Watch,0,0
Andaman And Nicobar Islands,Nicobar,2025-05-01,-1.113178938680636,-0.9385967833536378,-1.025887861017137,-0.1694982007720931,0,Normal,0,0
Andaman And Nicobar Islands,Nicobar,2025-06-01,-0.7534576660666925,-0.4272805028886043,-0.5903690844776485,-0.7723151120826058,0,Normal,0,0
Andaman And Nicobar Islands,Nicobar,2025-07-01,-0.4536899388884065,-1.1942549235861546,-0.8239724312372806,-0.813409792244022,0,Normal,0,0
Andaman And Nicobar Islands,Nicobar,2025-08-01,0.6083442945432355,-0.0011836025010765,0.3035803460210795,-0.3702537232312832,0,Normal,0,0
Andaman And Nicobar Islands,Nicobar,2025-09-01,-0.3848543867215409,0.9362295783514848,0.2756875958149719,-0.081568163133743,0,Normal,0,0
Andaman And Nicobar Islands,Nicobar,2025-10-01,1.1393614112590569,-0.4272805028886043,0.3560404541852261,0.3117694653404258,0,Normal,1,0
Andaman And Nicobar Islands,Nicobar,2025-11-01,0.2100814570063698,-0.8533774032761322,-0.3216479731348811,0.1033600256217723,0,Normal,0,0
Andaman And Nicobar Islands,Nicobar,2025-12-01,-1.0732099083901978,-0.8107677132373795,-0.9419888108137886,-0.3025321099211478,0,Normal,0,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-01-01,2.869196613846009,-0.3731844398855514,1.248006086980229,,1,No Data,1,0
