state,district,month,biometric_pressure_index
Andhra Pradesh,Alluri Sitharama Raju,2025-07,-0.7777964109036541
Andhra Pradesh,Alluri Sitharama Raju,2025-08,-0.5312304536448325
Andhra Pradesh,Alluri Sitharama Raju,2025-09,-0.03530194981990636
Andhra Pradesh,Alluri Sitharama Raju,2025-10,-0.5498248852041753
Andhra Pradesh,Alluri Sitharama Raju,2025-11,1.4242709107019862
Andhra Pradesh,Alluri Sitharama Raju,2025-12,-1.2129933086370788
Andhra Pradesh,Anakapalli,2025-01,-1.3413059589847336
Andhra Pradesh,Anakapalli,2025-02,-0.2382078761310388
Andhra Pradesh,Anakapalli,2025-03,0.3330116599215381
Andhra Pradesh,Anakapalli,2025-04,2.049088128549332
Andhra Pradesh,Anakapalli,2025-05,-0.630868416469402
Andhra Pradesh,Anakapalli,2025-06,0.38401752556502106
Andhra Pradesh,Anakapalli,2025-07,-1.6545650883315794
Andhra Pradesh,Anakapalli,2025-08,-0.18225167668099035
Andhra Pradesh,Anakapalli,2025-09,0.5741932418104037
Andhra Pradesh,Anakapalli,2025-10,0.5636880549404716
Andhra Pradesh,Anakapalli,2025-11,1.036082587091627
Andhra Pradesh,Anakapalli,2025-12,-0.8928821812806581
Andhra Pradesh,Anantapur,2025-01,-1.2980168031520767
Andhra Pradesh,Anantapur,2025-02,0.6608313576060316
Andhra Pradesh,Anantapur,2025-03,0.11115631002865917
Andhra Pradesh,Anantapur,2025-04,-0.5830004251487566
Andhra Pradesh,Anantapur,2025-05,0.39896972934421093
Andhra Pradesh,Anantapur,2025-06,0.02184822825067494
Andhra Pradesh,Anantapur,2025-07,-1.527443511744189
Andhra Pradesh,Anantapur,2025-08,-0.46046583563710125
Andhra Pradesh,Anantapur,2025-09,1.8534350342395838
Andhra Pradesh,Anantapur,2025-10,-1.0530602212399534
Andhra Pradesh,Anantapur,2025-11,0.4289407010597232
Andhra Pradesh,Anantapur,2025-12,1.4468054363931917
Andhra Pradesh,Ananthapur,2025-01,-2.5703137451333125
Andhra Pradesh,Ananthapur,2025-02,0.22549314295155035
Andhra Pradesh,Ananthapur,2025-03,-0.26770886919330245
Andhra Pradesh,Ananthapur,2025-04,-0.4460403610839639
Andhra Pradesh,Ananthapur,2025-05,0.8181489341570962
Andhra Pradesh,Ananthapur,2025-06,0.021026894985636792
Andhra Pradesh,Ananthapur,2025-07,-0.43741667821453195
Andhra Pradesh,Ananthapur,2025-08,0.14026659018061213
Andhra Pradesh,Ananthapur,2025-09,0.7629697925729297
Andhra Pradesh,Ananthapur,2025-10,-0.356688613652425
Andhra Pradesh,Ananthapur,2025-11,0.262941173714538
Andhra Pradesh,Ananthapur,2025-12,1.847321738715169
Andhra Pradesh,Ananthapuramu,2025-01,-2.535926423779341
Andhra Pradesh,Ananthapuramu,2025-02,-0.41807623137276234
Andhra Pradesh,Ananthapuramu,2025-03,-0.11855167331585445
Andhra Pradesh,Ananthapuramu,2025-04,0.028855329245741832
Andhra Pradesh,Ananthapuramu,2025-05,0.43419022200774265
Andhra Pradesh,Ananthapuramu,2025-06,-0.22437239777948698
Andhra Pradesh,Ananthapuramu,2025-07,-0.47105622103388456
Andhra Pradesh,Ananthapuramu,2025-08,0.4126126977201255
Andhra Pradesh,Ananthapuramu,2025-09,1.6200961267256888
Andhra Pradesh,Ananthapuramu,2025-10,-0.5804717930228305
Andhra Pradesh,Ananthapuramu,2025-11,1.1138074242104214
Andhra Pradesh,Ananthapuramu,2025-12,0.7388929403944439
Andhra Pradesh,Annamayya,2025-01,-1.84397305543046
Andhra Pradesh,Annamayya,2025-02,-0.041661651718568504
Andhra Pradesh,Annamayya,2025-03,1.3381445933296048
Andhra Pradesh,Annamayya,2025-04,-0.8393998383392312
Andhra Pradesh,Annamayya,2025-05,0.7376491680184388
Andhra Pradesh,Annamayya,2025-06,0.7719286871922973
Andhra Pradesh,Annamayya,2025-07,-1.621652342106157
Andhra Pradesh,Annamayya,2025-08,1.1719949139950845
Andhra Pradesh,Annamayya,2025-09,0.83921811371876
Andhra Pradesh,Annamayya,2025-10,0.1613394464892109
Andhra Pradesh,Annamayya,2025-11,-0.30366691528454265
Andhra Pradesh,Annamayya,2025-12,-0.36992111986444454
Andhra Pradesh,Bapatla,2025-01,1.0795944608910304
Andhra Pradesh,Bapatla,2025-02,-0.5541676136517997
Andhra Pradesh,Bapatla,2025-03,0.8347742783945953
Andhra Pradesh,Bapatla,2025-04,0.2848325976219055
Andhra Pradesh,Bapatla,2025-05,-1.3759957694645848
Andhra Pradesh,Bapatla,2025-06,0.25500873835606525
Andhra Pradesh,Bapatla,2025-07,-2.092334667653593
Andhra Pradesh,Bapatla,2025-08,-0.2970411807440376
Andhra Pradesh,Bapatla,2025-09,-0.4531536578666074
Andhra Pradesh,Bapatla,2025-10,0.1712962506236729
Andhra Pradesh,Bapatla,2025-11,1.7000203190503487
Andhra Pradesh,Bapatla,2025-12,0.44716624444300845
Andhra Pradesh,Chittoor,2025-01,-1.1668961308489327
Andhra Pradesh,Chittoor,2025-02,0.6639655769180015
Andhra Pradesh,Chittoor,2025-03,-0.5469080668560994
Andhra Pradesh,Chittoor,2025-04,-0.9165401340733661
Andhra Pradesh,Chittoor,2025-05,-1.0663254803128055
Andhra Pradesh,Chittoor,2025-06,-0.4950051102216539
Andhra Pradesh,Chittoor,2025-07,-1.4090229095400817
Andhra Pradesh,Chittoor,2025-08,0.625316256377702
Andhra Pradesh,Chittoor,2025-09,1.7372636569863569
Andhra Pradesh,Chittoor,2025-10,0.6674314299377797
Andhra Pradesh,Chittoor,2025-11,1.049437019370484
Andhra Pradesh,Chittoor,2025-12,0.8572838922626151
Andhra Pradesh,Cuddapah,2025-01,-2.430826455560167
Andhra Pradesh,Cuddapah,2025-02,-0.8425363413874525
Andhra Pradesh,Cuddapah,2025-03,0.42743745174643283
Andhra Pradesh,Cuddapah,2025-04,-0.2568703087747061
Andhra Pradesh,Cuddapah,2025-05,-0.18978692487129892
Andhra Pradesh,Cuddapah,2025-06,-0.13298333650389713
Andhra Pradesh,Cuddapah,2025-07,-0.7696736183203545
Andhra Pradesh,Cuddapah,2025-08,0.7586962178205467
Andhra Pradesh,Cuddapah,2025-09,1.698577825100596
Andhra Pradesh,Cuddapah,2025-10,0.6127540047870531
Andhra Pradesh,Cuddapah,2025-11,0.47048514053997165
Andhra Pradesh,Cuddapah,2025-12,0.6547263454232788
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-01,0.5203239826226651
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-02,-0.8915062972924073
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-03,-0.5863704490189939
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-04,-1.4810556440821614
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-05,0.4764936072511384
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-06,0.9696969889854047
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-07,-0.4966937311385354
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-08,1.7207518460535662
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09,0.270357124979435
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10,-1.0719090980034727
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-11,1.433305197158294
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-12,-0.8633935275149327
Andhra Pradesh,East Godavari,2025-01,-1.3900290605317074
Andhra Pradesh,East Godavari,2025-02,-0.5612953941162083
